#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 1.740787  5.257123  2.114309  7.819853  0.000000  0.000000  0.000  0.000    2.292200020613610  1.09840 -33.00000   2.5375340 -20.7129431    8.7215053   0.0075593   0.000000      -0.000000    
 1.713187  5.250838  2.111294  7.820714  0.000000  0.000000  0.000  0.000    2.292204542756257  1.09840 -33.00000   2.5063205 -20.6667928    8.7239651   0.0075380   0.000000      -0.000000    
 1.685127  5.244427  2.108320  7.821560  0.000000  0.000000  0.000  0.000    2.292209263950398  1.09840 -33.00000   2.4751864 -20.6237488    8.7263823   0.0075170   0.000000      -0.000000    
 1.656574  5.237876  2.105380  7.822357  0.000000  0.000000  0.000  0.000    2.292214190231532  1.09840 -33.00000   2.4440630 -20.5753443    8.7287329   0.0074967   0.000000      -0.000000    
 1.627699  5.231237  2.102489  7.823146  0.000000  0.000000  0.000  0.000    2.292219319430119  1.09840 -33.00000   2.4131403 -20.5701897    8.7310514   0.0074767   0.000000      -0.000000    
 1.598467  5.224500  2.099635  7.823902  0.000000  0.000000  0.000  0.000    2.292224668091686  1.09840 -33.00000   2.3823252 -20.5249281    8.7333351   0.0074571   0.000000      -0.000000    
 1.568942  5.217682  2.096827  7.824654  0.000000  0.000000  0.000  0.000    2.292230239478887  1.09840 -33.00000   2.3516914 -20.5394110    8.7355883   0.0074378   0.000000      -0.000000    
 1.539114  5.210779  2.094053  7.825374  0.000000  0.000000  0.000  0.000    2.292236044660816  1.09840 -33.00000   2.3211752 -20.5348013    8.7378037   0.0074188   0.000000      -0.000000    
 1.509048  5.203808  2.091322  7.826090  0.000000  0.000000  0.000  0.000    2.292242087004156  1.09840 -33.00000   2.2908490 -20.4996974    8.7399860   0.0074002   0.000000      -0.000000    
 1.478732  5.196765  2.088622  7.826775  0.000000  0.000000  0.000  0.000    2.292248379030638  1.09840 -33.00000   2.2606440 -20.4779427    8.7421276   0.0073820   0.000000      -0.000000    
 1.448228  5.189665  2.085963  7.827457  0.000000  0.000000  0.000  0.000    2.292254924817723  1.09840 -33.00000   2.2306296 -20.4688810    8.7442335   0.0073641   0.000000      -0.000000    
 1.417519  5.182504  2.083332  7.828107  0.000000  0.000000  0.000  0.000    2.292261738704261  1.09840 -33.00000   2.2007320 -20.4449737    8.7462960   0.0073466   0.000000      -0.000000    
 1.386666  5.175297  2.080738  7.828755  0.000000  0.000000  0.000  0.000    2.292268825741661  1.09840 -33.00000   2.1710185 -20.4152060    8.7483209   0.0073295   0.000000      -0.000000    
